episode,steps,reward,result,goal_x,goal_y
1,33,234.33,goal,0.650,0.100
2,32,-97.55,collision,0.500,0.200
3,35,-99.33,collision,0.450,0.200
4,29,-130.52,collision,-0.500,0.150
5,21,-127.34,collision,-0.450,0.200
6,59,-149.77,collision,-0.550,0.000
7,16,-118.42,collision,-0.600,0.000
8,55,-153.25,collision,-0.500,-0.150
9,62,-158.47,collision,-0.450,-0.150
10,46,-103.51,collision,0.550,-0.150
11,19,232.90,goal,0.500,-0.100
12,22,235.88,goal,0.600,0.000
13,23,-81.34,collision,0.650,0.100
14,21,233.68,goal,0.500,0.200
15,33,-101.38,collision,0.450,0.200
16,57,-150.30,collision,-0.500,0.150
17,32,-134.55,collision,-0.450,0.200
18,13,-114.30,collision,-0.550,0.000
19,48,-145.65,collision,-0.600,0.000
20,61,-152.74,collision,-0.500,-0.150
21,19,-121.24,collision,-0.450,-0.150
22,61,-130.76,collision,0.550,-0.150
23,79,-150.11,collision,0.500,-0.100
24,50,-116.29,collision,0.600,0.000
25,18,-85.52,collision,0.650,0.100
26,23,231.12,goal,0.500,0.200
27,32,-99.77,collision,0.450,0.200
28,53,-147.98,collision,-0.500,0.150
29,23,-121.47,collision,-0.450,0.200
30,23,-114.76,collision,-0.550,0.000
31,23,-110.04,collision,-0.600,0.000
32,500,-151.87,timeout,-0.500,-0.150
33,158,-146.06,collision,-0.450,-0.150
34,9,-97.82,collision,0.550,-0.150
35,11,-99.27,collision,0.500,-0.100
36,9,-98.20,collision,0.600,0.000
37,10,-97.72,collision,0.650,0.100
38,11,-98.96,collision,0.500,0.200
39,14,-102.96,collision,0.450,0.200
40,20,-109.08,collision,-0.500,0.150
41,22,-113.02,collision,-0.450,0.200
42,21,-105.44,collision,-0.550,0.000
43,28,-108.64,collision,-0.600,0.000
44,23,-105.83,collision,-0.500,-0.150
45,22,-107.14,collision,-0.450,-0.150
46,22,235.01,goal,0.550,-0.150
47,17,230.27,goal,0.500,-0.100
48,19,235.66,goal,0.600,0.000
49,23,238.36,goal,0.650,0.100
50,22,231.53,goal,0.500,0.200
51,28,228.12,goal,0.450,0.200
52,28,-106.11,collision,-0.500,0.150
53,29,-107.25,collision,-0.450,0.200
54,22,-101.86,collision,-0.550,0.000
55,21,-103.46,collision,-0.600,0.000
56,19,-101.70,collision,-0.500,-0.150
57,22,-100.53,collision,-0.450,-0.150
58,35,-72.06,collision,0.550,-0.150
59,18,230.49,goal,0.500,-0.100
60,18,235.67,goal,0.600,0.000
61,23,239.50,goal,0.650,0.100
62,18,231.71,goal,0.500,0.200
63,15,229.83,goal,0.450,0.200
64,26,-111.36,collision,-0.500,0.150
65,23,-102.25,collision,-0.450,0.200
66,24,-103.55,collision,-0.550,0.000
67,23,-102.78,collision,-0.600,0.000
68,24,-104.11,collision,-0.500,-0.150
69,20,-101.43,collision,-0.450,-0.150
70,49,224.64,goal,0.550,-0.150
71,17,231.65,goal,0.500,-0.100
72,18,239.20,goal,0.600,0.000
73,27,236.48,goal,0.650,0.100
74,14,233.56,goal,0.500,0.200
75,32,226.64,goal,0.450,0.200
76,21,-110.01,collision,-0.500,0.150
77,18,-111.22,collision,-0.450,0.200
78,43,225.73,goal,-0.550,0.000
79,25,-99.18,collision,-0.600,0.000
80,24,-96.46,collision,-0.500,-0.150
81,23,-102.96,collision,-0.450,-0.150
82,26,231.88,goal,0.550,-0.150
83,15,233.27,goal,0.500,-0.100
84,20,234.95,goal,0.600,0.000
85,21,238.10,goal,0.650,0.100
86,19,234.21,goal,0.500,0.200
87,67,-117.56,collision,0.450,0.200
88,25,-103.86,collision,-0.500,0.150
89,21,-113.16,collision,-0.450,0.200
90,30,-104.25,collision,-0.550,0.000
91,30,-104.42,collision,-0.600,0.000
92,34,-101.59,collision,-0.500,-0.150
93,32,-106.13,collision,-0.450,-0.150
94,18,234.35,goal,0.550,-0.150
95,15,232.03,goal,0.500,-0.100
96,19,234.88,goal,0.600,0.000
97,20,238.27,goal,0.650,0.100
98,18,231.64,goal,0.500,0.200
99,16,230.46,goal,0.450,0.200
100,23,-108.27,collision,-0.500,0.150
101,21,-117.65,collision,-0.450,0.200
102,31,-105.92,collision,-0.550,0.000
103,27,-101.76,collision,-0.600,0.000
104,39,-103.87,collision,-0.500,-0.150
105,39,-109.60,collision,-0.450,-0.150
106,30,231.20,goal,0.550,-0.150
107,16,233.21,goal,0.500,-0.100
108,17,237.06,goal,0.600,0.000
109,20,-83.89,collision,0.650,0.100
110,20,-89.22,collision,0.500,0.200
111,95,-134.32,collision,0.450,0.200
